Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,In-sample RMSE,Out-of-sample RMSE
300,sigmoid,11,Adam,small_random,0.0001,0.049462624,0.103531364
300,sigmoid,11,Adam,small_random,0,0.049544521,0.332120627
300,sigmoid,8,Momentum,Xavier,0.0001,0.049628366,0.063639622
300,sigmoid,11,Momentum,Xavier,0,0.049689054,0.096159742
100,relu,11,Adam,Xavier,0.001,0.049893823,0.096114619
100,tanh,11,Adam,Xavier,0.001,0.049915306,0.11452208
100,relu,5,Momentum,Xavier,0.001,0.05002721,0.075569465
100,tanh,11,Adam,Xavier,0,0.050050315,0.086814485
300,sigmoid,8,Adam,small_random,0.001,0.050079498,0.100770977
100,relu,11,Momentum,Xavier,0.0001,0.050340366,0.095510224
200,tanh,8,Adam,Xavier,0,0.050369952,0.115684358
200,sigmoid,8,Adam,Xavier,0.0001,0.050473325,0.119604231
300,sigmoid,8,Adam,Xavier,0,0.050497532,0.116324184
200,relu,5,Adam,Xavier,0,0.050595544,0.115640553
200,sigmoid,11,Momentum,small_random,0.001,0.050602119,0.165380069
100,tanh,5,Adam,Xavier,0,0.050634507,0.160906747
300,sigmoid,11,Momentum,Xavier,0.001,0.050700389,0.092565912
100,tanh,8,Adam,Xavier,0,0.050776534,0.088001192
300,sigmoid,11,Adam,Xavier,0.0001,0.050834715,0.066120426
300,relu,8,Momentum,small_random,0,0.05096468,0.124174769
100,tanh,8,Momentum,Xavier,0.0001,0.050970409,0.125885284
200,sigmoid,5,Adam,Xavier,0.0001,0.051022504,0.095837257
200,sigmoid,8,Adam,small_random,0,0.051232003,0.168537923
100,tanh,5,Momentum,Xavier,0,0.051238529,0.096176905
300,sigmoid,11,Momentum,Xavier,0.0001,0.051275756,0.135064097
300,sigmoid,11,Adam,small_random,0.001,0.051280107,0.075498188
200,tanh,11,Momentum,small_random,0.001,0.051287193,0.164202901
200,sigmoid,5,Momentum,Xavier,0,0.051293276,0.080609193
100,tanh,8,Momentum,Xavier,0.001,0.051336184,0.080860446
300,sigmoid,5,Adam,small_random,0.0001,0.051399488,0.088662451
300,sigmoid,11,Momentum,small_random,0.001,0.05141909,0.184354208
100,tanh,8,Momentum,Xavier,0,0.051499195,0.20997111
300,sigmoid,8,Momentum,Xavier,0.001,0.051662743,0.091050643
300,sigmoid,5,Momentum,Xavier,0.001,0.05173482,0.128284625
200,relu,5,Momentum,Xavier,0.001,0.05208341,0.114067336
100,relu,8,Momentum,Xavier,0.001,0.052087102,0.093513546
100,relu,11,Momentum,Xavier,0.001,0.05209842,0.10897713
100,relu,11,Adam,Xavier,0,0.052123368,0.093694204
300,relu,11,SGD,Xavier,0.0001,0.052267313,0.151763792
300,relu,8,Momentum,Xavier,0,0.052339863,0.110756811
200,relu,11,Momentum,Xavier,0,0.052383553,0.089072137
300,sigmoid,5,Adam,Xavier,0.001,0.05240202,0.106483557
300,sigmoid,5,Momentum,Xavier,0,0.05243931,0.097358913
300,sigmoid,11,Adam,Xavier,0,0.052526772,0.100663089
200,sigmoid,5,Adam,Xavier,0.001,0.052622695,0.093371723
200,relu,5,Adam,Xavier,0.0001,0.052632876,0.080196692
200,sigmoid,11,Momentum,Xavier,0.001,0.052786708,0.081795061
300,tanh,5,Adam,small_random,0,0.052992079,0.213971537
100,tanh,5,Momentum,Xavier,0.0001,0.053262565,0.066792832
200,sigmoid,5,Momentum,Xavier,0.0001,0.053398289,0.121541873
100,sigmoid,5,Momentum,Xavier,0.001,0.053414028,0.145251966
300,tanh,11,Adam,small_random,0,0.053469915,0.159460969
200,sigmoid,8,Adam,Xavier,0.001,0.053560477,0.101205273
300,relu,11,Momentum,small_random,0,0.053802732,0.163228036
200,tanh,5,Momentum,small_random,0.001,0.053814624,0.254797801
100,tanh,11,Momentum,small_random,0.001,0.053903971,0.07926053
100,relu,8,Momentum,Xavier,0.0001,0.05401526,0.174411201
200,sigmoid,8,Momentum,Xavier,0.001,0.054033022,0.091899512
200,sigmoid,11,Adam,Xavier,0.001,0.054094207,0.082937465
100,relu,8,Adam,Xavier,0.0001,0.05410732,0.125073816
300,sigmoid,8,Momentum,Xavier,0,0.054315556,0.102422872
200,tanh,11,Adam,Xavier,0.001,0.054388557,0.111643583
300,tanh,5,Adam,small_random,0.001,0.054397028,0.116953327
300,relu,8,Momentum,small_random,0.001,0.054406896,0.103167853
100,sigmoid,8,Adam,Xavier,0.0001,0.054459464,0.146667667
300,sigmoid,5,Adam,Xavier,0.0001,0.054594185,0.108465537
300,relu,8,Momentum,Xavier,0.0001,0.054791633,0.157847826
300,tanh,8,Adam,small_random,0,0.054969814,0.182110266
200,sigmoid,8,Momentum,Xavier,0.0001,0.05508117,0.087232848
300,sigmoid,5,Momentum,Xavier,0.0001,0.055290233,0.1092755
300,relu,5,Adam,small_random,0.0001,0.055462938,0.328427359
200,tanh,11,Adam,small_random,0.0001,0.05566613,0.152038534
100,relu,11,Momentum,Xavier,0,0.055725824,0.093893142
200,tanh,5,Momentum,Xavier,0.0001,0.056121856,0.125153978
200,sigmoid,8,Momentum,small_random,0.001,0.056140803,0.259221211
200,sigmoid,8,Momentum,Xavier,0,0.056384534,0.231636443
100,sigmoid,11,Momentum,Xavier,0.001,0.056451213,0.086294631
300,sigmoid,8,Adam,Xavier,0.001,0.056454875,0.085761514
300,sigmoid,8,Adam,Xavier,0.0001,0.056495935,0.102687734
100,relu,11,Adam,Xavier,0.0001,0.05659125,0.124401702
100,relu,8,Momentum,Xavier,0,0.056593228,0.06964609
100,sigmoid,5,Adam,Xavier,0.0001,0.056691624,0.100813714
300,tanh,11,Momentum,small_random,0,0.056886915,0.186432898
100,relu,5,Momentum,Xavier,0,0.057004903,0.057261436
100,sigmoid,8,Adam,Xavier,0.001,0.05706526,0.110715521
300,tanh,11,SGD,Xavier,0.001,0.057222586,0.2108266
200,sigmoid,11,Momentum,Xavier,0,0.057237983,0.108535807
300,tanh,8,SGD,Xavier,0.001,0.057324827,0.126740157
200,tanh,5,Adam,Xavier,0.0001,0.05746799,0.127777539
200,sigmoid,11,Adam,Xavier,0,0.057589691,0.136384076
300,sigmoid,8,Momentum,small_random,0.001,0.057743039,0.161691467
300,tanh,5,Momentum,small_random,0.001,0.057824653,0.249079695
100,sigmoid,11,Momentum,Xavier,0,0.0578725,0.107862706
200,sigmoid,5,Momentum,Xavier,0.001,0.057909079,0.139123211
300,relu,11,Momentum,small_random,0.001,0.058490772,0.114958323
200,relu,8,Momentum,small_random,0.001,0.058577355,0.230851634
100,sigmoid,5,Momentum,Xavier,0.0001,0.058577634,0.094583133
300,relu,11,Adam,small_random,0.0001,0.058894329,0.244526799
100,relu,8,Adam,Xavier,0,0.0590038,0.091112239
300,sigmoid,5,Adam,small_random,0,0.05901584,0.18970878
300,tanh,5,SGD,Xavier,0.0001,0.059151035,0.131418307
200,relu,5,SGD,Xavier,0.001,0.059197929,0.123465826
100,sigmoid,8,Momentum,Xavier,0,0.059375737,0.149108483
300,sigmoid,8,Momentum,small_random,0.0001,0.059554968,0.131922305
100,relu,5,Momentum,Xavier,0.0001,0.059576564,0.284452318
300,sigmoid,11,Momentum,small_random,0,0.059696689,0.152546979
300,tanh,8,Momentum,small_random,0.0001,0.059760246,0.231523004
200,relu,11,Momentum,small_random,0,0.059840742,0.351396677
200,sigmoid,8,Adam,Xavier,0,0.059918873,0.099333876
200,sigmoid,11,Momentum,small_random,0.0001,0.05999396,0.126837136
300,sigmoid,5,Momentum,small_random,0.001,0.06079651,0.212037977
100,tanh,11,Momentum,small_random,0,0.060800236,0.268931138
200,sigmoid,8,Momentum,small_random,0.0001,0.060911797,0.101379604
300,relu,11,Momentum,small_random,0.0001,0.060928129,0.144036051
100,sigmoid,11,Adam,Xavier,0,0.061008435,0.125379632
300,relu,5,Momentum,small_random,0.001,0.061014194,0.14982454
